Base_ID,Sample_ID,Benchmark,Typo_Rate,Source_Row,Original_Prompt,Modified_Prompt,Gold_Answer,R1_Meaning,R2_Meaning,Final_Meaning,R1_Key_Info,R2_Key_Info,Final_Key_Info,R1_Realism,R2_Realism,Final_Realism,R1_Readability,R2_Readability,Final_Readability,Comments
MMLU_001,MMLU_001_rate_0.1,MMLU,0.1,3756,"Unlike in a closed primary election, in an open primary election","Unlike in a closed primary eleciton, in an open primary election",2,,,,,,,,,,,,,
MMLU_001,MMLU_001_rate_0.4,MMLU,0.4,3756,"Unlike in a closed primary election, in an open primary election","Unlikje in a closed primary eleciton, in an opern primayr election",2,,,,,,,,,,,,,
MMLU_001,MMLU_001_rate_0.7,MMLU,0.7,3756,"Unlike in a closed primary election, in an open primary election","Unli in a close priamyr electiin, in an oen primayr election",2,,,,,,,,,,,,,
MMLU_002,MMLU_002_rate_0.1,MMLU,0.1,11515,"A man was prosecuted for assault and battery after he admitted striking a victim with a pool cue during a barroom argument. The man claimed that he acted in self-defense after he was attacked by the victim, who was drunk and belligerent. As his first defense witness, the man calls his neighbor to testify that the man is a good neighbor. The neighbor's testimony is","A man was prosecuted for assautl and battery after he admitted striking a victim wth a pool cue during a barroom argument. The mab claimed thst he acted in self-defense after he was attacked by the victim, who was drunk and belligerent. As his first defense witness, the man calls his neighbor to testify tht the man isd a good neighbor. The neighbor's testimony is",3,,,,,,,,,,,,,
MMLU_002,MMLU_002_rate_0.4,MMLU,0.4,11515,"A man was prosecuted for assault and battery after he admitted striking a victim with a pool cue during a barroom argument. The man claimed that he acted in self-defense after he was attacked by the victim, who was drunk and belligerent. As his first defense witness, the man calls his neighbor to testify that the man is a good neighbor. The neighbor's testimony is","A man was prosecuted fort assasult and barrery after he admittef striking a victi with a pool cud during a barrpm argfument. Tje mn claimed tha hw acted i self-defebse after he wass attacked by th victim, who was drunk and belligerent. As his firt defense witness, thjw man calsl his neihbor ti testify tht the msn is a good neighbor. The neighbor' testimny is",3,,,,,,,,,,,,,
MMLU_002,MMLU_002_rate_0.7,MMLU,0.7,11515,"A man was prosecuted for assault and battery after he admitted striking a victim with a pool cue during a barroom argument. The man claimed that he acted in self-defense after he was attacked by the victim, who was drunk and belligerent. As his first defense witness, the man calls his neighbor to testify that the man is a good neighbor. The neighbor's testimony is","A man was prosrcuted fir assault andf batteryt afdter he admitted sttikiung a viycim wht a pooo cue durign a barrom argumernt. Tg mn clamd thaqt h actess in self-defense after he was attacekd by the vicitm, who wasa druk an belligerent. As hi frst defense wintes, the ma calls his neigbho to testify that the man is a goop neighor. Tge neiugbhor's testimony is",3,,,,,,,,,,,,,
MMLU_003,MMLU_003_rate_0.1,MMLU,0.1,7169, These objectives are often the most suitable when firms operate in a market dominated by a major competitor and where their financial resources are limited.,These objectives are often tje most suitable when firms operate in a market dominated by a major competitor abbd where their financial resources are limited.,3,,,,,,,,,,,,,
MMLU_003,MMLU_003_rate_0.4,MMLU,0.4,7169, These objectives are often the most suitable when firms operate in a market dominated by a major competitor and where their financial resources are limited.,Tnese objectives are often the mst suitable when firms operatew in a market dominated by a major competritror and where theore financia rwsources arr limited.,3,,,,,,,,,,,,,
MMLU_003,MMLU_003_rate_0.7,MMLU,0.7,7169, These objectives are often the most suitable when firms operate in a market dominated by a major competitor and where their financial resources are limited.,These objecrive are often the most suitabwl whn firms operte in a market dpminated by a major copetitr anmbs whwre theie financail resdources are limuted.,3,,,,,,,,,,,,,
MMLU_004,MMLU_004_rate_0.1,MMLU,0.1,7577,Which of the following has provided evidence that the Sun's atmosphere contains sodium atoms?,Which of the following had provided evidence that the Sun's atmosphere contains sodium atoms?,0,,,,,,,,,,,,,
