Base_ID,Sample_ID,Benchmark,Typo_Rate,Source_Row,Original_Prompt,Modified_Prompt,Gold_Answer,R1_Meaning,R2_Meaning,Final_Meaning,R1_Key_Info,R2_Key_Info,Final_Key_Info,R1_Realism,R2_Realism,Final_Realism,R1_Readability,R2_Readability,Final_Readability,Comments
HellaSwag_001,HellaSwag_001_rate_0.1,HellaSwag,0.1,5977,A young woman is seen kneeling in a tub with clothes all around her. She steps on the clothes and bends down again to scrub them while the camera pans around her. she,,,,,,,,,,,,,,,
HellaSwag_001,HellaSwag_001_rate_0.4,HellaSwag,0.4,5977,A young woman is seen kneeling in a tub with clothes all around her. She steps on the clothes and bends down again to scrub them while the camera pans around her. she,,,,,,,,,,,,,,,
HellaSwag_001,HellaSwag_001_rate_0.7,HellaSwag,0.7,5977,A young woman is seen kneeling in a tub with clothes all around her. She steps on the clothes and bends down again to scrub them while the camera pans around her. she,,,,,,,,,,,,,,,
HellaSwag_002,HellaSwag_002_rate_0.1,HellaSwag,0.1,4597,A group of people are on a basketball court. They are engaged in a game of dodgeball. they,,,,,,,,,,,,,,,
HellaSwag_002,HellaSwag_002_rate_0.4,HellaSwag,0.4,4597,A group of people are on a basketball court. They are engaged in a game of dodgeball. they,,,,,,,,,,,,,,,
HellaSwag_002,HellaSwag_002_rate_0.7,HellaSwag,0.7,4597,A group of people are on a basketball court. They are engaged in a game of dodgeball. they,,,,,,,,,,,,,,,
HellaSwag_003,HellaSwag_003_rate_0.1,HellaSwag,0.1,31559,"[header] How to care for newborn hamsters [title] Assess the parents' risk factors. [step] Hamsters reach sexual maturity as young as 6 weeks old, though it is not advisable to let them mate at this age. A female should be at least 8-10 weeks old before mating, and males 10-12 weeks old.",,,,,,,,,,,,,,,
HellaSwag_003,HellaSwag_003_rate_0.4,HellaSwag,0.4,31559,"[header] How to care for newborn hamsters [title] Assess the parents' risk factors. [step] Hamsters reach sexual maturity as young as 6 weeks old, though it is not advisable to let them mate at this age. A female should be at least 8-10 weeks old before mating, and males 10-12 weeks old.",,,,,,,,,,,,,,,
HellaSwag_003,HellaSwag_003_rate_0.7,HellaSwag,0.7,31559,"[header] How to care for newborn hamsters [title] Assess the parents' risk factors. [step] Hamsters reach sexual maturity as young as 6 weeks old, though it is not advisable to let them mate at this age. A female should be at least 8-10 weeks old before mating, and males 10-12 weeks old.",,,,,,,,,,,,,,,
HellaSwag_004,HellaSwag_004_rate_0.1,HellaSwag,0.1,37505,"[header] How to be a pious young muslimah [title] Have an appropriate attitude. [step] The proper attitude for a young muslim woman is to be modest, plain, simple and sincere, not someone provoking attention. Observe the hijab, which is not just a dress code, but also a standard of behaviour.",,,,,,,,,,,,,,,
HellaSwag_004,HellaSwag_004_rate_0.4,HellaSwag,0.4,37505,"[header] How to be a pious young muslimah [title] Have an appropriate attitude. [step] The proper attitude for a young muslim woman is to be modest, plain, simple and sincere, not someone provoking attention. Observe the hijab, which is not just a dress code, but also a standard of behaviour.",,,,,,,,,,,,,,,
HellaSwag_004,HellaSwag_004_rate_0.7,HellaSwag,0.7,37505,"[header] How to be a pious young muslimah [title] Have an appropriate attitude. [step] The proper attitude for a young muslim woman is to be modest, plain, simple and sincere, not someone provoking attention. Observe the hijab, which is not just a dress code, but also a standard of behaviour.",,,,,,,,,,,,,,,
HellaSwag_005,HellaSwag_005_rate_0.1,HellaSwag,0.1,2123,Woman is standing in front of a table with red boots and a toothbrush in front. the woman,,,,,,,,,,,,,,,
HellaSwag_005,HellaSwag_005_rate_0.4,HellaSwag,0.4,2123,Woman is standing in front of a table with red boots and a toothbrush in front. the woman,,,,,,,,,,,,,,,
HellaSwag_005,HellaSwag_005_rate_0.7,HellaSwag,0.7,2123,Woman is standing in front of a table with red boots and a toothbrush in front. the woman,,,,,,,,,,,,,,,
HellaSwag_006,HellaSwag_006_rate_0.1,HellaSwag,0.1,13385,"On the cookie sheet, there are several raw shape bell shaped cookie dough items on the tray and the lady begins sprinkling green sparkles on top. after",,,,,,,,,,,,,,,
HellaSwag_006,HellaSwag_006_rate_0.4,HellaSwag,0.4,13385,"On the cookie sheet, there are several raw shape bell shaped cookie dough items on the tray and the lady begins sprinkling green sparkles on top. after",,,,,,,,,,,,,,,
HellaSwag_006,HellaSwag_006_rate_0.7,HellaSwag,0.7,13385,"On the cookie sheet, there are several raw shape bell shaped cookie dough items on the tray and the lady begins sprinkling green sparkles on top. after",,,,,,,,,,,,,,,
HellaSwag_007,HellaSwag_007_rate_0.1,HellaSwag,0.1,614,"A woman pics up a bottle filled with red bullets. The cotton pad is removed, then a gun is loaded. she",,,,,,,,,,,,,,,
HellaSwag_007,HellaSwag_007_rate_0.4,HellaSwag,0.4,614,"A woman pics up a bottle filled with red bullets. The cotton pad is removed, then a gun is loaded. she",,,,,,,,,,,,,,,
HellaSwag_007,HellaSwag_007_rate_0.7,HellaSwag,0.7,614,"A woman pics up a bottle filled with red bullets. The cotton pad is removed, then a gun is loaded. she",,,,,,,,,,,,,,,
HellaSwag_008,HellaSwag_008_rate_0.1,HellaSwag,0.1,19332,"[header] How to start a home health care business [title] Gain experience in the health care field. [step] Nurses, administrators, physical therapists and other health care professionals will be able to use their industry knowledge to develop a business plan and gain credibility. If you do not have this experience, you may want to partner or employ people with medical experience.",,,,,,,,,,,,,,,
HellaSwag_008,HellaSwag_008_rate_0.4,HellaSwag,0.4,19332,"[header] How to start a home health care business [title] Gain experience in the health care field. [step] Nurses, administrators, physical therapists and other health care professionals will be able to use their industry knowledge to develop a business plan and gain credibility. If you do not have this experience, you may want to partner or employ people with medical experience.",,,,,,,,,,,,,,,
HellaSwag_008,HellaSwag_008_rate_0.7,HellaSwag,0.7,19332,"[header] How to start a home health care business [title] Gain experience in the health care field. [step] Nurses, administrators, physical therapists and other health care professionals will be able to use their industry knowledge to develop a business plan and gain credibility. If you do not have this experience, you may want to partner or employ people with medical experience.",,,,,,,,,,,,,,,
HellaSwag_009,HellaSwag_009_rate_0.1,HellaSwag,0.1,10637,A swimmer lifts his arms before and prepares for a dive on the platform. The swimmer dives into an olympic pool from the platform. the swimmer,,,,,,,,,,,,,,,
HellaSwag_009,HellaSwag_009_rate_0.4,HellaSwag,0.4,10637,A swimmer lifts his arms before and prepares for a dive on the platform. The swimmer dives into an olympic pool from the platform. the swimmer,,,,,,,,,,,,,,,
HellaSwag_009,HellaSwag_009_rate_0.7,HellaSwag,0.7,10637,A swimmer lifts his arms before and prepares for a dive on the platform. The swimmer dives into an olympic pool from the platform. the swimmer,,,,,,,,,,,,,,,
HellaSwag_010,HellaSwag_010_rate_0.1,HellaSwag,0.1,23699,"[header] How to use leftover eggnog [title] Brew a cup of coffee. [step] Use your favorite type of coffee to make a 20 ounce (591 ml) cup. You can use a traditional coffee machine, a single-serve coffee machine, a french press, or even an instant type that you simply mix with hot water.",,,,,,,,,,,,,,,
HellaSwag_010,HellaSwag_010_rate_0.4,HellaSwag,0.4,23699,"[header] How to use leftover eggnog [title] Brew a cup of coffee. [step] Use your favorite type of coffee to make a 20 ounce (591 ml) cup. You can use a traditional coffee machine, a single-serve coffee machine, a french press, or even an instant type that you simply mix with hot water.",,,,,,,,,,,,,,,
