review_row_id,original_sample_id,esl_language,split,ind,source_id,activity_label,original_prompt,modified_prompt,ending_1,ending_2,ending_3,ending_4,correct_option,gold_answer,R1_Meaning,R2_Meaning,Final_Meaning,R1_Key_Info,R2_Key_Info,Final_Key_Info,R1_Answer_Preserved,R2_Answer_Preserved,Final_Answer_Preserved,R1_Realism,R2_Realism,Final_Realism,R1_Readability,R2_Readability,Final_Readability,R1_Comments,R2_Comments,Final_Comments
HS_REVIEW_001,HS_ORIG_01,arabic,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal greasy straight hair. Eat food rich protein plus because our hair is made up proteins, we need them. Protein rich foods can be cheese, beans, milk, product, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_002,HS_ORIG_01,chinese,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with greasy straight hair. Eat food rich in protein plus because my hair is made up of proteins, we need them. Protein rich foods can be cheese, beans, milk, products, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_003,HS_ORIG_01,french,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with greasy straight hair. Eat food rich protein plus because our hair is made up of proteins, we need them. Protein rich foods can be cheese, beans, milk, products, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_004,HS_ORIG_01,german,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with grease straight hair. Eat food rich protein plus because our hair is made up of proteins, we need them. Protein rich foods can be cheese, beans, milk, products, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_005,HS_ORIG_01,japanese,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with greasy straight haire? Eat food rich in protein because our haire are being made up of proteins, we need them. Protein rich foods can be able to be cheese, beans, milk, products, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_006,HS_ORIG_01,portuguese,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with greasy straight hair. Eat food rich in protein plus because our hair is made up of proteins, is need them protein rich. Protein rich foods can be cheese, beans, milk, product, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_007,HS_ORIG_01,russian,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with greasy straight hair. Eat food rich in protein plus because our hair is made up proteins, we has need them. Protein rich foods can be cheese, beans, milk, products, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_008,HS_ORIG_01,spanish,val,23671,wikihow~39096,Personal Care and Style,"[header] How to deal with oily straight hair [title] Eat protein rich food. [step] Because our hair is made up of proteins, we need them. Protein rich foods are cottage cheese (paneer), lentils (daal), soybean, soy milk, soy products, tofu, tempeh, beans, etc.","How to deal with greasy straight a hair. Eat food rich protein plus because our hair is made up of proteins, we need them. Protein rich foods can be cheese, beans, milk, product, curd, etc.","[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.","These foods are inexpensive, nutritious, and easy to keep in your diet. When you eat them daily, your body automatically gets pre-hydrated.",", and need small amounts of protein, but if your hair is open and oily on the scalp, then the amount you get is more concentrated. [substeps] Stick to lean proteins like black bean, tuna, processed oatmeal, or flax oil.",", and they are most often found in red meat, beef, pork, and egg whites. Proteins in produce are also found in fiber, vitamins, minerals, carbohydrates, seafood, and whole grains.",1,"[title] Cut out unhealthy food. [step] Avoid junk foods, caffeinated drinks, anything containing processed flour, like biscuits, pastries, etc.",,,,,,,,,,,,,,,,,,
HS_REVIEW_009,HS_ORIG_02,arabic,val,35533,wikihow~58526,Food and Entertaining,[header] How to make apple jam [title] Peel and chop your apples. [step] Wash your apples and peel them. Core the apples to remove their stems.,"""You removing skin and cutting your apple, plus washing these one and removing skin them. Taking out a middle these one to remove the stick.""",Trim the apples into smaller pieces to use as jam. Use 3 to 4 large apple chunks in the jam.,Some may have chunks of skin if you cut them off. You'll need about two peeled apples for the total jam.,"Carefully dice the apples finely so they're no larger than 1/4 "" cubes. Place all of the apples in a large 4-cup measuring cup.","From the core, you should cut off all the small, stringy flesh. You should also grate them on a separate cutting board.",3,"Carefully dice the apples finely so they're no larger than 1/4 "" cubes. Place all of the apples in a large 4-cup measuring cup.",,,,,,,,,,,,,,,,,,
HS_REVIEW_010,HS_ORIG_02,chinese,val,35533,wikihow~58526,Food and Entertaining,[header] How to make apple jam [title] Peel and chop your apples. [step] Wash your apples and peel them. Core the apples to remove their stems.,"You removing skin and cutting your apples, plus washing these and removing skin them. Taking out a middle of these to remove an sticks.",Trim the apples into smaller pieces to use as jam. Use 3 to 4 large apple chunks in the jam.,Some may have chunks of skin if you cut them off. You'll need about two peeled apples for the total jam.,"Carefully dice the apples finely so they're no larger than 1/4 "" cubes. Place all of the apples in a large 4-cup measuring cup.","From the core, you should cut off all the small, stringy flesh. You should also grate them on a separate cutting board.",3,"Carefully dice the apples finely so they're no larger than 1/4 "" cubes. Place all of the apples in a large 4-cup measuring cup.",,,,,,,,,,,,,,,,,,
